,datetimestamp,T,RH,AH,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),CO(GT)
0,1078941600,13.6,48.9,0.7578,1360.0,1046.0,1056.0,1692.0,1268.0,2.6
1,1078945200,13.3,47.7,0.7255,1292.0,955.0,1174.0,1559.0,972.0,2.0
2,1078948800,11.9,54.0,0.7502,1402.0,939.0,1140.0,1555.0,1074.0,2.2
3,1078952400,11.0,60.0,0.7867,1376.0,948.0,1092.0,1584.0,1203.0,2.2
4,1078956000,11.2,59.6,0.7888,1272.0,836.0,1205.0,1490.0,1110.0,1.6
5,1078959600,11.2,59.2,0.7848,1197.0,750.0,1337.0,1393.0,949.0,1.2
6,1078963200,11.3,56.8,0.7603,1185.0,690.0,1462.0,1333.0,733.0,1.2
7,1078966800,10.7,60.0,0.7702,1136.0,672.0,1453.0,1333.0,730.0,1.0
8,1078988400,10.2,59.6,0.7417,1144.0,667.0,1490.0,1339.0,730.0,1.1
9,1078992000,10.8,57.4,0.7408,1333.0,900.0,1136.0,1517.0,1102.0,2.0
10,1078995600,10.5,60.6,0.7691,1351.0,960.0,1079.0,1583.0,1028.0,2.2
11,1078999200,10.8,58.4,0.7552,1233.0,827.0,1218.0,1446.0,860.0,1.7
12,1079002800,10.5,57.9,0.7352,1179.0,762.0,1328.0,1362.0,671.0,1.5
13,1079006400,9.5,66.8,0.7951,1236.0,774.0,1301.0,1401.0,664.0,1.6
14,1079010000,8.3,76.4,0.8393,1286.0,869.0,1162.0,1537.0,799.0,1.9
15,1079013600,8.0,81.1,0.8736,1371.0,1034.0,983.0,1730.0,1037.0,2.9
16,1079017200,8.3,79.8,0.8778,1310.0,933.0,1082.0,1647.0,946.0,2.2
17,1079020800,9.7,71.2,0.8569,1292.0,912.0,1103.0,1591.0,957.0,2.2
18,1079024400,9.8,67.6,0.8185,1383.0,1020.0,1008.0,1719.0,1104.0,2.9
19,1079028000,10.3,64.2,0.8065,1581.0,1319.0,799.0,2083.0,1409.0,4.8
20,1079035200,9.6,67.8,0.8133,1640.0,1404.0,743.0,2191.0,1654.0,6.1
21,1079038800,9.1,64.0,0.7419,1313.0,1076.0,957.0,1707.0,1285.0,3.9
22,1079042400,8.2,63.4,0.6905,965.0,749.0,1325.0,1333.0,821.0,1.5
23,1079046000,8.2,60.8,0.6657,913.0,629.0,1565.0,1252.0,552.0,1.0
24,1079049600,8.3,58.5,0.6438,1080.0,805.0,1254.0,1375.0,816.0,1.7
